Alcaldia,Preescolar,Escolar,Productiva,Postproductiva
AZCAPOTZALCO,20829,55631,282767,44035
COYOACAN,29614,81649,427639,69454
CUAJIMALPA,12687,31642,132972,11223
GUSTAVO A. MADERO,65264,170857,809016,114493
IZTACALCO,19841,53808,260658,39181
IZTAPALAPA,114075,291370,1244702,126793
MAGDALENA CONTRERAS,14703,38355,166738,18855
MILPA ALTA,9655,24589,92012,7597
ALVARO OBREGON,42184,110565,508773,61567
TLAHUAC,23933,62786,251937,20733
TLALPAN,38728,102401,463933,52683
XOCHIMILCO,25542,66308,290823,28700
BENITO JUAREZ,17448,42294,283233,49922
CUAUHTEMOC,28082,69894,376205,53648
MIGUEL HIDALGO,19796,48515,266149,41107
VENUSTIANO CARRANZA,22741,59762,290081,44296
